word,start,end,duration,rms_mean,zcr_mean,mfcc_0_mean,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,label
 to,1035.1,1035.24,0.1400625,0.04928295,0.155371094,-194.15572,44.108276,32.820827,12.125125,9.553454,6.8129716,-22.365608,3.8279412,-20.192972,3.3985634,-9.597363,-16.913393,0.7026664,-1
 stick,1035.24,1035.62,0.3799375,0.06290754,0.307576497,-233.68268,24.94687,13.350097,20.8068,16.66382,-14.56438,-20.94592,14.403015,-16.491238,-6.023987,-7.9558597,-0.33097425,-5.776857,-1
 an,1035.62,1036.32,0.7,0.013619613,0.197975852,-401.50995,74.38169,-19.53374,10.744996,6.3005815,-9.4002,-11.228824,2.0166786,-1.3122087,2.277365,-2.458487,-3.7581315,-3.0033913,-1
 adhesive,1036.32,1036.76,0.4400625,0.049763463,0.264334542,-220.35527,32.43519,10.185041,38.97159,4.4780703,-19.47139,-5.383124,2.2759626,-21.78775,-2.1450386,-4.722852,-12.5909395,-7.106033,-1
 throat,1036.76,1037.24,0.48,0.10003686,0.231658936,-183.71527,73.325195,-8.443311,11.0271635,-0.3964541,-20.423992,-10.712044,-5.760496,-27.510532,-17.613861,-6.393259,-5.7627535,-5.8844757,-1
 microphone,1037.24,1037.92,0.68,0.07778721,0.134321733,-235.86774,133.17557,-20.523548,2.2023203,-4.2070255,-10.870937,-5.7825284,-5.1453614,-28.537395,-17.397795,-2.5687768,-7.877704,-15.542356,-1
 underneath,1037.92,1038.5,0.58,0.07349785,0.066714638,-232.48085,122.28472,-11.619833,5.671711,-5.3726044,-6.041914,-15.435589,-9.53468,-22.109476,-2.3659828,-8.5122175,-21.662195,-8.444672,-1
 my,1038.5,1038.98,0.48,0.08258831,0.126373291,-262.10507,101.2825,4.095404,12.251493,-0.83158445,-10.274829,-1.507823,4.642211,-19.031965,-21.71166,-4.950569,-1.8278522,-25.190542,-1
 Adam's,1038.98,1040.12,1.1399375,0.051130846,0.160441081,-307.18582,91.67217,-18.919426,4.3101974,3.0938723,-1.2348216,-17.155388,1.9329016,-18.49125,1.6130246,-4.1940584,-11.991838,-7.377816,-1
 apple,1040.12,1040.46,0.3400625,0.059227105,0.09428267,-223.79752,135.74066,-25.060461,-25.576378,-4.1129956,-0.9236414,1.053701,7.239284,-18.842522,9.130016,-0.9818674,-7.531909,-10.490823,-1
 I,1040.46,1040.64,0.18,0.116449654,0.064860026,-157.60149,161.18378,-18.289543,-36.33843,-26.254675,-14.822316,-16.24792,-4.477225,-28.399012,4.29174,-1.9900651,-4.13282,-14.906747,-1
 could,1040.64,1040.82,0.1799375,0.08740669,0.066080729,-171.94612,100.84316,-23.857397,42.826283,3.7273295,-4.7909923,-34.800938,-5.4238935,-13.997159,-21.65978,-2.9887104,-19.397509,-6.4975142,-1
 never,1040.82,1041.18,0.3600625,0.12619533,0.051717122,-184.23198,107.78901,-16.77997,6.8521285,-2.903095,-21.40328,-24.25361,-1.0558423,-20.395163,-8.791207,1.2130796,-16.743233,-2.4270897,-1
 ever,1041.18,1041.68,0.5,0.10874269,0.128417969,-163.02948,82.13646,-32.65575,-21.595291,-3.5469525,-33.767303,-27.572634,9.1364155,-14.004498,8.332405,4.9757504,-14.689669,4.9112415,-1
 wear,1041.68,1042.04,0.36,0.14848141,0.05090332,-198.61494,139.43294,-18.88418,-29.671797,-26.197493,-25.848139,-17.163742,-9.377734,-17.414482,-14.744564,-0.55514807,-11.155889,-9.679728,-1
 an,1042.04,1042.28,0.24,0.09891762,0.050720215,-161.31969,137.47559,-41.658936,-15.983819,11.333721,-27.121864,-23.838879,-10.904404,-40.637802,1.8965342,0.21739757,-8.790776,-11.824472,-1
 open,1042.28,1042.54,0.26,0.07764384,0.072048611,-234.17839,144.2816,6.5526757,-0.8915262,-43.70426,-3.3581254,-9.45203,-8.66374,-25.08244,-14.2206335,-2.9437666,-12.439469,-14.898675,-1
#NAME?,1042.54,1042.78,0.24,0.074022435,0.050354004,-201.30386,113.737206,-24.90749,37.927124,13.392233,-26.18384,-37.76915,7.2692137,-24.594332,-13.759637,0.9146091,-15.579171,1.8089348,-1
 shirt,1042.78,1043.16,0.38,0.058014493,0.168457031,-246.84755,27.507605,-33.22821,52.64507,14.924122,-12.91677,-27.861586,-4.4052505,-16.318277,-10.294541,-14.343564,-8.543293,-8.990586,-1
 at,1043.16,1044.2,1.04,0.020201597,0.247884115,-338.84152,47.06884,-11.704269,13.750912,5.428867,1.2684194,-11.72829,0.42200643,-10.051389,4.774989,-5.347909,-9.1535015,1.7441888,-1
 any,1044.2,1044.42,0.22,0.12285167,0.055733817,-164.74954,107.06993,-19.546646,46.95362,-1.5579996,-39.29034,-36.412807,11.663005,-44.735508,-12.233453,0.2362171,-9.404441,-0.9959003,-1
 time,1044.42,1044.78,0.36,0.095783055,0.139485677,-182.50842,98.279274,-13.196008,1.1835734,2.4925983,-6.3293233,-9.571778,4.0713515,-20.77302,-3.5780327,-2.883337,-11.659019,-18.22883,-1
 of,1044.78,1045.22,0.44,0.10151099,0.043143136,-231.6539,144.50706,2.4040172,-3.9148653,-24.72017,-20.568928,-5.1835566,3.356955,-24.778994,-16.10369,-8.805217,-14.048201,-11.950875,-1
 the,1045.22,1045.66,0.44,0.018415602,0.219866071,-342.2161,55.81717,3.768473,17.031965,13.808718,3.7752974,-9.722278,-7.016726,-1.6597027,3.1318552,-4.4366198,-6.0860825,-6.1271243,-1
 year,1045.66,1046.08,0.4199375,0.071133204,0.050048828,-229.22765,109.91833,-19.227884,38.857212,17.812263,-19.303934,-37.635895,-2.8870013,-14.710686,-15.978521,-7.215438,-10.715697,-12.086708,-1
 and,1046.96,1047.76,0.8,0.006063763,0.212984525,-469.9969,70.24101,0.2406702,2.6942382,4.603773,4.174399,-6.0891724,0.98114014,-3.4241967,6.3652954,-8.403168,-3.708205,-5.318367,-1
 every,1047.76,1048.12,0.3599375,0.085417815,0.05859375,-191.42076,115.495705,-11.898541,5.4678574,17.276072,-22.414572,-28.164457,-0.42131782,-27.331932,-3.1624124,-15.444705,-5.002081,-5.0462494,-1
 time,1048.12,1048.6,0.4800625,0.074641734,0.143341064,-195.95369,85.9758,-14.458153,-2.171636,9.649141,-0.65548325,-12.796887,12.397682,-18.42256,-5.7603035,3.6773925,-2.8085194,-5.2464237,-1
 I,1048.6,1048.84,0.24,0.09761006,0.054443359,-201.26443,166.128,-27.809948,-16.227114,-6.1311703,1.5669703,-21.981815,13.603171,-39.076424,-20.66391,15.580575,-15.737231,-11.908322,-1
 spoke,1048.84,1049.34,0.5,0.113452636,0.168182373,-217.45282,110.165924,19.729805,2.1775718,-3.5233946,-8.902376,-6.71208,-9.657282,-16.648724,-19.789219,-9.65073,2.323426,-8.493338,-1
 an,1049.34,1050.98,1.64,0.013793251,0.205547626,-426.07394,68.35921,-5.6124187,8.471896,4.877555,1.5189024,-4.6858206,0.35349047,-2.2573125,3.7403371,-3.8309476,-2.7358656,-7.418264,-1
 impulse,1050.98,1051.36,0.38,0.10574318,0.086669922,-183.91364,104.26526,7.183207,24.322983,-3.5770454,-10.838409,-5.8739285,0.551109,-25.065819,-13.580746,8.016055,-4.296582,-10.198054,-1
 went,1051.36,1051.76,0.4,0.07767253,0.180288462,-188.76486,89.95769,11.0539,13.188329,-14.845356,-1.4116557,-7.490334,1.3223286,-8.141297,-8.486936,-1.5644944,-3.189002,-8.847745,-1
 down,1051.76,1052.54,0.78,0.059699617,0.149277344,-299.88275,83.56865,-6.724064,-7.1629653,-4.2362757,6.5029316,-3.4376101,-3.438036,-9.280773,1.115255,-5.7267714,-4.551226,-5.857101,-1
 a,1052.54,1052.94,0.4,0.06268514,0.060021034,-245.71597,125.2658,-1.0516287,-4.638154,-2.4891615,-10.946768,-33.188217,1.089574,-27.130852,6.0361786,-2.1334257,-16.035473,0.5416982,-1
 tube,1052.94,1053.3,0.36,0.07867163,0.134073893,-243.22511,68.1872,-9.262679,28.966995,0.50070554,11.06973,-8.917681,-3.3531494,-15.303192,-16.102592,-1.3945985,-11.278193,-12.099292,-1
 into,1053.3,1053.66,0.36,0.085968316,0.093424479,-198.93947,56.340847,4.8679066,46.80254,-4.753393,-8.467252,-14.948865,-5.1541967,-18.812101,-26.707499,-9.411525,-16.724806,-13.249278,-1
 a,1053.66,1053.88,0.22,0.09746297,0.056919643,-242.49716,172.3186,5.861042,-10.127258,-33.969505,-6.1936517,-3.353077,-2.8294046,-34.08282,-27.384802,-8.794743,-9.164057,-14.707992,-1
 control,1053.88,1054.26,0.38,0.07664826,0.115152995,-216.1662,100.590935,-14.165398,2.1742296,-21.115023,-4.9884133,-11.307926,5.5636144,-19.785322,-7.2327347,-10.422236,-0.8243945,-21.885263,-1
 box,1054.26,1054.88,0.62,0.14626613,0.076049805,-232.757,147.9415,-6.6233034,-11.968266,-43.46423,-34.304684,-3.831736,1.5109246,-12.494883,-10.129681,-14.726404,-5.79443,-16.464409,-1
 which,1054.88,1055.82,0.94,0.028563432,0.236197917,-349.1715,45.1098,-12.315233,15.387835,13.20514,9.0128355,-7.3234797,-13.2458315,0.61977035,2.1205986,-9.065733,-4.5009418,-6.5573497,-1
 I,1055.82,1056.04,0.22,0.11724248,0.149972098,-113.69179,82.56875,-40.645657,4.2907233,-20.442087,-7.6107597,-13.536547,-9.741453,-24.772284,6.7581906,-2.1630573,6.600197,-18.542807,-1
 which,1056.04,1056.62,0.58,0.049133588,0.119680304,-345.23758,109.01448,3.221696,11.541398,-3.3075716,0.6062771,-1.0400032,-5.1680646,-15.685803,-8.082213,-8.835629,-8.349739,-12.546987,-1
 I,1056.62,1056.82,0.2,0.08258152,0.116071429,-134.25418,97.55821,-16.61122,-5.961927,-13.959681,-7.599267,-14.977347,-9.343017,-26.497992,1.5301865,1.2020425,1.0209049,-19.072897,-1
 wore,1056.82,1057.3,0.48,0.14484388,0.040924072,-311.42133,177.72678,53.515976,-0.87383056,-45.12487,-30.786205,-12.450854,-15.924128,-17.448824,-7.2230835,-11.499279,-4.0190897,-10.03305,-1
 concealed,1057.3,1058.26,0.96,0.03350998,0.199045489,-347.81238,79.752556,24.372198,2.2030246,5.1957927,6.286561,-1.1829317,3.2982495,-12.691725,1.9023786,-1.5792158,-2.097406,-7.1630273,-1
 beneath,1058.26,1058.9,0.64,0.11285231,0.056896391,-253.54701,107.187164,-2.8686976,51.239094,-6.500552,-12.959839,-8.783228,0.8079709,-24.339615,-20.062979,-2.1859517,-19.81521,-12.521828,-1
 my,1058.9,1059.24,0.34,0.07657999,0.115012429,-231.76295,113.44497,-13.01947,16.072563,7.0213184,-22.234415,-10.77376,2.4898512,-23.560242,-10.876986,-2.2869866,-2.746206,-23.438398,-1
 shirt,1059.24,1059.66,0.42,0.10325945,0.163085938,-189.64723,56.247158,-38.770054,50.55526,12.718107,-21.961267,-27.029816,-4.43856,-18.715914,-7.1248612,-16.63184,-5.2969794,-16.332266,-1
 and,1059.66,1060.8,1.14,0.018381633,0.225558811,-406.45816,60.529358,-11.986132,4.9500003,0.8466586,3.6534457,-7.4874487,-3.9076848,-6.2700043,5.845677,-4.097687,-6.1282153,-6.4154744,-1
 that,1060.8,1061.12,0.32,0.13859068,0.085094105,-136.22585,109.20987,-29.702093,-38.058372,9.621168,-12.5832205,-22.905876,-0.36974576,-17.73758,5.431001,-3.6302717,-28.897139,-1.3452449,-1
 sent,1061.12,1061.94,0.82,0.047178343,0.346754808,-303.45828,21.715242,0.022399608,5.176867,6.779147,-6.5489583,-10.877984,9.919767,-6.3827505,2.6547427,-6.520981,-1.4225299,0.69152534,-1
 a,1061.94,1062.16,0.22,0.102734506,0.065569196,-168.82469,121.291466,-9.487017,-1.391943,-16.523525,-9.034098,-29.488708,-16.392025,-25.86037,-6.59066,-0.68133134,-18.173307,-7.33923,-1
 horrendous,1062.16,1062.88,0.72,0.15517133,0.084982167,-158.0321,113.97583,-18.356993,-15.456805,-11.21029,-27.254238,-24.018223,-5.8990855,-20.688122,-8.6677885,-5.6390834,-12.513415,-1.323674,-1
 buzzing,1062.88,1063.3,0.42,0.091958754,0.144356864,-209.47197,73.23104,12.217845,-2.967568,-3.8350449,3.6733565,-16.115978,8.557794,-16.07016,2.4250019,4.9727216,-0.4429131,-4.026641,-1
 sound,1063.3,1063.78,0.48,0.047420304,0.264862061,-221.08652,57.787098,19.604183,-12.85802,-6.9099545,-4.8425126,-8.213927,2.3759043,-27.657007,-1.2339759,1.8273811,-4.039062,-14.948735,-1
 up,1063.78,1064.02,0.24,0.08602615,0.055969238,-194.43134,148.9119,-35.45482,-29.340748,-9.478107,-10.283365,-28.586082,3.0051985,-29.92406,5.782576,6.0438647,-25.167934,-7.771012,-1
 tubes,1064.02,1064.62,0.6,0.04292274,0.132838199,-298.08774,45.306126,-9.848623,28.215816,-21.062777,6.1248307,-19.84751,7.216609,-6.825042,-19.562162,0.9788419,-14.003731,-13.858136,-1
 and,1064.62,1065.04,0.42,0.07243337,0.159040179,-184.0159,77.729515,7.8445597,9.277663,4.97392,-0.20716242,-20.192583,-7.251278,-16.123611,0.62698746,-6.48686,-14.127309,-6.6715894,-1
 wires,1065.04,1066,0.96,0.08228759,0.112147177,-318.20624,95.91089,-8.1749115,-9.962555,-9.08404,-8.390436,-15.14189,2.3210087,-16.121082,1.0089506,-0.5399396,-11.448767,-4.325785,-1
 which,1066,1066.9,0.9,0.04082414,0.246379984,-342.7603,30.547308,10.108386,6.5821114,5.314551,12.402577,-14.9020605,-2.4105816,-16.0842,-6.1469126,-1.6357182,-12.1891575,-1.635418,-1
 went,1066.9,1067.22,0.32,0.07180191,0.096990412,-218.13818,74.55083,-25.96309,24.95526,2.1447394,-2.7525434,-30.936705,7.9179745,-18.626415,-20.542805,7.855762,-13.666848,6.066905,-1
 through,1067.22,1067.94,0.72,0.01756704,0.295686141,-351.25812,42.2137,0.17908785,6.315207,-2.5920858,5.229386,-7.165095,-0.94583625,-12.937536,-2.3946383,-7.7590938,-3.62279,-3.8710928,-1
 my,1067.94,1068.24,0.3,0.073357,0.071386719,-229.77995,108.95323,-7.115329,-27.751434,-12.235851,-16.713083,-19.577976,18.142002,-24.63776,-11.270474,-6.2706747,-20.641039,-15.398666,-1
 hair,1068.24,1068.72,0.48,0.06445697,0.09753418,-203.68301,50.661,4.8536963,11.924639,2.2911694,-45.215973,-28.539467,24.625423,-28.471668,0.7468585,3.8326287,-10.306896,0.42248058,-1
 into,1068.72,1070.32,1.6,0.019291544,0.244964001,-398.4013,44.576153,0.058962036,18.5469,-3.876175,-0.38508037,-14.551336,0.64068556,-10.209356,-3.3108182,-2.586521,-7.286058,-5.65407,-1
 ear,1070.32,1070.9,0.58,0.10696272,0.070466694,-239.97993,101.68933,6.657209,13.788121,4.908571,-14.356241,-21.688438,0.582075,-32.33426,-17.581295,-2.2804086,-18.35084,-1.8880943,-1
 molds,1070.9,1071.4,0.5,0.07759872,0.038848877,-276.9322,156.58917,28.781029,9.256338,-28.927074,-17.382835,-8.025511,5.653694,-20.76801,-20.55764,-5.666096,-21.797028,-19.555912,-1
 and,1071.4,1071.72,0.32,0.03716333,0.23268821,-259.00174,67.17127,46.00127,14.400529,11.39577,14.9929495,-4.6663013,-9.663276,-14.718503,-4.867312,-4.4636827,-9.990456,-13.373532,-1
 I,1071.72,1071.9,0.18,0.112064056,0.100830078,-113.94788,139.6897,-47.99661,-52.863667,2.8230288,-2.2515926,-12.844925,6.8810983,-26.334097,14.110111,-10.029582,-14.175494,-17.522734,-1
 had,1071.9,1072.1,0.2,0.083773576,0.095912388,-158.13846,108.6553,-54.76495,-8.089435,-1.4586439,-9.159788,-2.7200532,-3.563646,3.2120721,-3.612583,-1.7230235,-19.884598,3.6469035,-1
 to,1072.1,1072.26,0.16,0.06837602,0.044108073,-290.132,161.6601,0.08752886,17.567156,-14.134206,-11.4804945,6.024966,0.51372117,-24.88597,-14.971517,-5.6245236,-18.551912,-12.530075,-1
 wear,1072.26,1072.48,0.22,0.12831284,0.061802455,-177.43309,149.40201,-51.4437,-2.7735126,7.8781676,-25.05144,-23.032032,11.322733,-21.561169,-13.126288,3.802418,-13.354814,-2.4149091,-1
 my,1072.48,1072.7,0.22,0.12055404,0.069266183,-138.2482,159.13402,-46.30905,-25.578033,9.66071,-19.039867,-25.817936,7.77002,-19.011446,-7.9216,0.28041035,-6.992116,-11.102279,-1
 hair,1072.7,1073.06,0.36,0.09346213,0.064778646,-164.64133,84.44088,-26.455307,26.888876,-0.022456804,-37.699497,-40.20609,28.969542,-23.757149,-1.840861,4.4430103,-8.856925,2.573569,-1
 longer,1073.06,1073.5,0.44,0.119379364,0.055629185,-206.64735,145.64165,2.3307402,-24.16148,-30.855162,-24.283255,-9.723598,10.76213,-32.48176,-10.618714,-0.22945908,-21.12764,-10.737281,-1
 than,1073.5,1073.84,0.34,0.08245517,0.053755327,-238.87398,126.874504,-9.854194,0.37252668,7.211563,5.4075317,-30.220299,-5.1336713,-35.622032,0.20547558,8.261735,-30.217981,-14.082285,-1
 regulation,1073.84,1074.4,0.56,0.10479644,0.044949002,-218.3836,141.44519,-20.79472,15.957892,-7.988966,-7.156238,-27.565447,3.5671964,-33.266003,-27.646742,1.0663439,-22.675043,-8.31324,-1
 length,1074.4,1075,0.6,0.06869092,0.101973684,-214.02884,93.14603,-21.47591,25.364763,8.085163,-13.184864,-16.064928,1.5608835,-29.848295,-8.013199,-8.662044,-13.509951,-6.490322,-1
 to,1075,1075.44,0.44,0.03441895,0.207868304,-353.61337,63.23868,6.520124,19.033888,-9.450147,5.6510997,-2.4524627,-2.7720222,-1.3957564,-13.372882,-5.1006293,-9.051196,-6.152287,-1
 hide,1075.44,1076.42,0.98,0.050660938,0.218923261,-300.04858,58.445812,-22.944006,-3.4615319,-10.822955,7.2635803,-8.131061,1.8342074,-14.194004,0.62657166,-6.524935,-8.849678,-6.7729864,-1
 to,1076.42,1076.74,0.32,0.071850054,0.137562145,-210.13356,61.797497,6.702693,39.56427,-11.508144,-2.0033264,-12.501652,5.8038964,-16.578905,-23.054216,-3.1092467,-18.828028,-18.680357,-1
 conceal,1076.74,1077.42,0.68,0.09172585,0.24050071,-210.84059,51.4278,16.855278,28.897596,-0.86973375,-0.71366984,-6.7140794,4.8798113,-21.913183,-11.096375,4.971693,-9.324734,-14.355566,-1
 that,1077.42,1078.46,1.04,0.06164181,0.17282197,-339.12698,85.10828,-9.593092,-7.7943707,-8.382884,-5.514017,1.0003105,-6.4819202,-11.287105,-4.3720474,2.915716,-12.0413065,-3.806064,-1
 contraption,1078.46,1079.4,0.94,0.04881319,0.200992839,-199.79486,63.79453,-28.584377,13.404775,2.5579667,-4.0787034,-13.639682,-1.8227452,-14.912172,1.3579038,-8.4487505,-3.0901744,-10.287386,-1
 and,1079.4,1079.8,0.4,0.02262802,0.102238582,-393.75934,100.48678,21.537523,24.094675,11.122249,5.039628,-5.6241508,-3.4507904,-8.634247,3.1910248,-7.115675,-14.733408,-12.010261,-1
 so,1079.8,1080.16,0.36,0.11168203,0.279947917,-210.55052,74.053795,29.372398,-15.806369,-22.0374,-5.552012,-13.57883,-11.962001,-16.930536,-6.388351,-5.593943,-7.2965107,-11.245941,-1
 every,1080.16,1082.36,2.2,0.013545308,0.214129019,-446.94867,63.383175,1.3269058,7.021556,1.8998064,-2.2251778,-5.347525,1.4060738,-6.3378987,-0.48787308,-2.7344918,-2.0072765,-3.4504983,-1
 time,1082.36,1082.84,0.48,0.077246755,0.135681152,-215.41682,89.52629,-21.282257,-3.0554762,14.054171,-9.146185,-22.107388,13.302586,-18.373672,-5.9976025,1.939307,-14.814482,-8.4225025,-1
 that,1082.84,1083.06,0.22,0.08891278,0.063197545,-219.73201,127.374695,-16.138372,12.49964,3.4054399,-4.214609,-48.562237,2.9925745,-34.051266,4.6421876,3.9592135,-29.007063,-5.7064734,-1
 I,1083.06,1083.24,0.18,0.09859846,0.06266276,-162.0205,132.97803,-32.1057,-23.434896,10.221603,-9.39081,-33.45352,2.838774,-19.109234,8.838531,2.0891352,-25.40946,-8.352584,-1
 spoke,1083.24,1083.68,0.44,0.097222276,0.207938058,-243.90025,77.81987,20.227802,-0.18150207,3.2984123,-6.0131764,5.351544,-4.789721,-10.548556,-15.929987,-5.3313074,3.650698,-4.851447,-1
 all,1083.68,1085.38,1.7,0.015080547,0.21838831,-449.7522,74.6133,5.081909,9.451915,-6.4241357,-4.613186,-4.0164757,-3.3213086,-2.5992756,-0.36407277,-4.3893957,-4.8449397,-5.9256196,-1
 I,1085.38,1085.64,0.26,0.09687525,0.073242188,-196.23325,131.48804,-25.735317,-10.51899,-17.036383,-34.296143,9.786942,-7.9781528,-12.062583,-0.8147778,-4.4335384,-10.545097,0.00079155,-1
 heard,1085.64,1085.98,0.34,0.108822495,0.046120384,-190.62975,129.55536,-22.836481,12.31853,35.271927,-27.595692,-30.525145,-9.049766,-16.415398,-10.294229,-3.7602751,-24.53852,-1.2931794,-1
 was,1085.98,1086.4,0.42,0.052603666,0.064208984,-295.37103,124.930786,19.47777,0.25812563,-1.109562,6.9480443,4.190411,-0.76484966,-26.304388,-10.618736,-0.054742556,-13.387835,-17.026426,-1
 buzz,1086.4,1087.48,1.08,0.03642125,0.252757353,-397.46564,59.7087,13.123388,-7.156373,-0.63274044,5.437291,-0.5614526,2.730048,-9.6987705,3.3428278,0.78252345,-1.2814069,-4.2070413,-1
 buzz,1087.48,1088.88,1.4,0.038825992,0.287342418,-362.52957,52.885372,17.513918,-3.935752,2.8646026,7.588165,-6.5318313,2.895618,-6.6358356,6.8834505,-2.6497228,-1.4242182,-6.5823627,-1
 buzz,1088.88,1090.22,1.34,0.026994308,0.299095517,-391.78012,44.177593,25.501596,-5.0681686,5.5699954,11.652627,-5.456136,1.8445867,-9.597412,7.1918445,-3.4075992,-4.8397436,-3.053695,-1
 if,1090.22,1090.7,0.48,0.07963669,0.174591064,-206.09732,79.5318,12.5949,-3.760179,15.103504,-2.3272681,-18.893064,-1.8622973,-27.651913,-1.6529543,-5.4641523,-17.527033,-7.4947214,-1
 someone,1090.7,1091.1,0.4,0.10469489,0.222167969,-168.27621,71.361694,27.309305,-12.384245,-8.436833,3.4538019,-1.1396936,12.025314,-9.390934,-1.0879762,3.1064487,-0.14185812,-8.848408,-1
 spoke,1091.1,1091.54,0.44,0.100323685,0.205217634,-199.59236,69.932884,23.611082,-10.746099,-4.92424,-2.6052463,-4.8438964,1.4095525,-16.664228,-3.8403409,-1.9184492,-7.99979,-7.358761,-1
 when,1091.54,1091.82,0.28,0.10122269,0.06656901,-223.15671,146.60739,2.28806,-9.657547,-20.341248,-6.304664,-22.754128,-2.109916,-26.890207,-16.467947,-3.0717783,-21.534899,-12.7833,-1
 I,1091.82,1091.98,0.16,0.12787598,0.059814453,-154.1823,159.33073,-49.192852,-45.40888,11.983663,-10.698547,-12.816524,0.8585661,-25.319313,7.10424,7.791186,-15.640457,-20.067432,-1
 was,1091.98,1092.14,0.16,0.050976004,0.088134766,-219.6845,114.58127,21.908976,-10.165473,-5.4903197,24.817986,-16.280638,-0.9296277,-38.0182,-18.80948,13.714366,-19.26909,-10.194957,-1
 speaking,1092.14,1092.64,0.5,0.047904372,0.233581543,-269.62662,29.666267,21.595556,50.671204,3.9031324,0.6044924,-12.950933,8.779478,-15.575306,-12.712296,6.2405505,-13.521211,-10.647697,-1
 I,1092.64,1093.58,0.94,0.029422779,0.178873698,-386.61194,64.54653,3.3732572,17.004747,-3.8885617,-2.7703087,-7.9434133,6.617104,-13.432391,1.7066283,0.03617436,-5.497841,-8.60483,-1
 couldn't,1093.58,1093.86,0.28,0.047116037,0.075086806,-238.88599,117.869545,-4.8756285,13.408966,-4.4539495,15.151635,-20.437212,-4.213719,-26.181953,-10.112309,-0.86657566,-20.820002,-8.430807,-1
 hear,1093.86,1094.14,0.28,0.071061134,0.069769965,-235.40189,94.92475,-4.021889,40.707825,6.580626,-11.65659,-25.57154,4.2781525,-27.214409,-11.643888,1.3068768,-25.346584,-5.0182743,-1
 them,1094.14,1094.34,0.2,0.059355352,0.043108259,-215.47449,121.78564,6.256431,-2.0464847,11.723382,7.954026,-20.882442,-6.2684026,-39.18769,-11.372705,13.65785,-27.443056,-17.71126,-1
 and,1094.34,1095.18,0.84,0.012170513,0.187301071,-448.34012,73.36331,7.9437375,19.228445,8.756491,4.2131724,-6.709649,-0.5138909,-8.8775835,-2.340427,0.13366441,-6.661822,-8.452648,-1
 so,1095.18,1095.34,0.16,0.09403074,0.295735677,-142.03377,65.87672,44.370693,-6.7278876,-1.0517184,15.035439,-17.480747,-11.835605,-18.396538,-0.5725232,0.75513154,-4.5911355,-12.089485,-1
 I,1095.34,1095.52,0.18,0.15623833,0.067464193,-145.22566,146.45863,-34.051426,-32.648106,-10.8616705,-13.903069,-10.991386,4.0786853,-17.625977,1.0097121,-1.9140295,-0.21675842,-12.420136,-1
 had,1095.52,1095.66,0.14,0.09343599,0.075,-128.3201,105.92971,-36.569878,-9.738347,-0.31642914,-9.9950485,-19.883677,-1.6605062,5.6522436,0.42814368,-0.32293862,-14.8837185,-7.462304,-1
 to,1095.66,1095.74,0.08,0.041627135,0.053385417,-186.8158,96.44059,-13.149272,31.794397,15.129727,-9.130506,-33.494286,4.0538707,-21.502296,-4.0811563,-27.31537,-0.8587909,-13.82029,-1
 become,1095.74,1096.12,0.38,0.06552998,0.114664714,-210.36934,95.812355,-29.34759,37.527607,4.457965,-7.186447,-22.842766,9.143619,-14.9906,-9.858498,0.37359145,-9.220225,-18.267677,-1
 very,1096.12,1096.52,0.4,0.1086878,0.059720553,-199.82033,144.52559,-39.782715,1.2659123,23.819878,-16.414581,-28.920946,1.5422287,-22.962965,-13.953594,10.199363,-19.357256,-6.273808,-1
 adept,1096.52,1097.1,0.58,0.07392595,0.082108347,-218.06255,82.23301,-13.793017,27.63449,10.876322,-10.848715,-35.49911,13.161258,-20.49663,-13.326745,0.194706,-19.563042,-0.41826287,-1
 at,1097.1,1097.42,0.32,0.035156235,0.182439631,-295.93768,53.149082,6.0733457,25.270918,-1.3677715,-1.2631569,-22.25571,1.8958322,-14.612823,-6.0205293,-10.642826,-11.660385,3.606911,-1
 lip,1097.42,1097.76,0.34,0.059332564,0.112437855,-301.3474,78.15157,13.383655,36.924786,2.1973634,8.948226,-21.396854,-2.4149778,-17.492287,-10.7982025,-3.8159158,-22.926918,-0.6682734,-1
 reading,1097.76,1098.08,0.32,0.07628361,0.047230114,-234.18788,96.912766,-19.404646,61.926273,-8.442746,-3.2607782,-4.016484,6.933844,-21.49977,-24.485914,-2.8577752,-13.36242,-15.822686,-1
 but,1098.08,1098.62,0.54,0.04982366,0.145076976,-271.31207,70.02376,-8.167141,24.10493,6.237339,-14.781016,-15.728914,-4.5278687,-18.426876,-9.112505,-2.5133498,-7.546803,-14.309094,-1
 it's,1098.62,1098.86,0.24,0.103563875,0.174316406,-122.83234,39.678905,-2.8745804,24.791828,3.4195104,-14.361928,-28.443348,5.8281493,-19.538488,-9.231958,-6.4163427,-16.581745,-9.2810135,-1
 very,1098.86,1099.12,0.26,0.16489822,0.105143229,-157.04556,106.22949,-42.46011,-0.5259391,-0.9590098,-27.345373,-38.278996,-15.211965,-16.426277,-7.9123144,3.6368048,-9.23986,-10.192706,-1
 difficult,1099.12,1099.6,0.48,0.10851043,0.132293701,-166.66562,87.98329,-10.158539,10.643662,-9.707399,-18.536156,-17.453106,-4.0998116,-23.610363,-16.94614,-0.7759879,-13.147045,-13.420483,-1
